UDPRN,UPRN,POSTCODE,STREET_DESCRIPTION,x,y,lat,lng,addr_date
54027278,10090974382,GU32 3EL,LAVANT STREET,474532.625,123454.3828125,51.00564956665039,-0.9390684962272644,2015-08-24
54027279,10090974383,GU32 3EL,LAVANT STREET,474532.625,123457.4296875,51.005680084228516,-0.9390679001808167,2015-08-24
54344641,10090975224,GU32 3LS,LARCOMBE ROAD,473973.40625,122449.6484375,50.99668884277344,-0.9472416043281555,2016-10-19
54344642,10090975225,GU32 3LS,LARCOMBE ROAD,473976.78125,122447.578125,50.99666976928711,-0.9471942186355591,2016-10-19
54344643,10090975226,GU32 3LS,LARCOMBE ROAD,473996.65625,122437.0,50.99657440185547,-0.9469128847122192,2016-10-19
54344644,10090975227,GU32 3LS,LARCOMBE ROAD,473991.34375,122430.3203125,50.99651336669922,-0.9469900727272034,2016-10-19
54344645,10090975228,GU32 3LS,LARCOMBE ROAD,473982.84375,122420.2109375,50.99642562866211,-0.9471132755279541,2016-10-19
54344646,10090975229,GU32 3LS,LARCOMBE ROAD,473978.71875,122410.296875,50.996334075927734,-0.9471743106842041,2016-10-19
54344647,10090975230,GU32 3LS,LARCOMBE ROAD,473984.75,122466.6484375,50.99684143066406,-0.9470769166946411,2016-10-19
54344648,10090975231,GU32 3LS,LARCOMBE ROAD,473989.84375,122463.6015625,50.9968147277832,-0.9470046758651733,2016-10-19
54344649,10090975232,GU32 3LS,LARCOMBE ROAD,474002.90625,122454.859375,50.996734619140625,-0.9468204975128174,2016-10-19
54344650,10090975233,GU32 3LS,LARCOMBE ROAD,474015.5625,122445.9609375,50.99665069580078,-0.9466418027877808,2016-10-19
54344651,10090975234,GU32 3LS,LARCOMBE ROAD,473977.9375,122387.0234375,50.99612808227539,-0.94718998670578,2016-10-19
54344652,10090975235,GU32 3LS,LARCOMBE ROAD,473971.875,122390.140625,50.99615478515625,-0.9472755193710327,2016-10-19
54344664,10090975236,GU32 3FL,REED WAY,473916.6875,122502.6171875,50.99717330932617,-0.9480389952659607,2016-10-19
54344665,10090975237,GU32 3FL,REED WAY,473896.96875,122508.3515625,50.99722671508789,-0.9483188986778259,2016-10-19
54344666,10090975238,GU32 3FL,REED WAY,473886.46875,122510.5703125,50.997249603271484,-0.9484680891036987,2016-10-19
54344667,10090975255,GU32 3FL,REED WAY,473924.75,122481.3515625,50.99698257446289,-0.9479286074638367,2016-10-26
54344668,10090975256,GU32 3FL,REED WAY,473907.25,122483.7578125,50.997005462646484,-0.9481775760650635,2016-10-26
54344669,10090975257,GU32 3FL,REED WAY,473893.1875,122488.2734375,50.997047424316406,-0.9483770132064819,2016-10-26
54344670,10090975258,GU32 3FL,REED WAY,473891.96875,122467.921875,50.996864318847656,-0.9483984112739563,2016-10-26
54344671,10090975259,GU32 3FL,REED WAY,473890.6875,122462.0,50.99681091308594,-0.9484180212020874,2016-10-26
54344672,10090975260,GU32 3FL,REED WAY,473881.9375,122454.5,50.99674606323242,-0.9485440254211426,2016-10-26
54344674,10090975261,GU32 3FL,REED WAY,473880.375,122436.859375,50.996585845947266,-0.9485697746276855,2016-10-26
54344675,10090975262,GU32 3FL,REED WAY,473871.78125,122417.84375,50.99641799926758,-0.9486961960792542,2016-10-26
54344676,10090975263,GU32 3FL,REED WAY,473874.5625,122407.703125,50.9963264465332,-0.94865882396698,2016-10-26
54344677,10090975264,GU32 3FL,REED WAY,473873.78125,122401.5078125,50.99626922607422,-0.9486712217330933,2016-10-26
54344678,10090975265,GU32 3FL,REED WAY,473867.6875,122393.0,50.996192932128906,-0.9487593770027161,2016-10-26
54344679,10090975266,GU32 3FL,REED WAY,473863.34375,122376.15625,50.99604415893555,-0.9488248229026794,2016-10-26
54344688,10090975289,GU32 3FN,OTTER WALK,473934.75,122472.3671875,50.99689865112305,-0.9477878212928772,2016-11-02
54344689,10090975290,GU32 3FN,OTTER WALK,473925.90625,122455.8125,50.99674987792969,-0.9479172825813293,2016-11-02
54344690,10090975291,GU32 3FN,OTTER WALK,473924.125,122451.8671875,50.9967155456543,-0.9479436874389648,2016-11-02
54344691,10090975292,GU32 3FN,OTTER WALK,473921.65625,122448.109375,50.996681213378906,-0.9479793906211853,2016-11-02
54344692,10090975293,GU32 3FN,OTTER WALK,473919.28125,122441.4921875,50.99662399291992,-0.9480147957801819,2016-11-02
54344693,10090975294,GU32 3FN,OTTER WALK,473917.25,122435.9765625,50.99657440185547,-0.94804447889328,2016-11-02
54344694,10090975295,GU32 3FN,OTTER WALK,473915.25,122430.453125,50.996524810791016,-0.9480742812156677,2016-11-02
54344695,10090975296,GU32 3FN,OTTER WALK,473905.09375,122407.1171875,50.996315002441406,-0.948223888874054,2016-11-02
54344696,10090975297,GU32 3FN,OTTER WALK,473903.1875,122401.5078125,50.99626541137695,-0.9482519030570984,2016-11-02
54344697,10090975298,GU32 3FN,OTTER WALK,473901.3125,122394.7109375,50.9962043762207,-0.9482802152633667,2016-11-02
54344698,10090975299,GU32 3FN,OTTER WALK,473899.875,122390.78125,50.99617004394531,-0.9483016133308411,2016-11-02
